CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 mixed/decode_attention         6.52%       2.961ms         8.40%       3.815ms     136.258us       0.000us         0.00%      40.897us       1.461us           0 b           0 b      24.00 Kb    -648.00 Kb            28            --  
                                             aten::item         0.02%       9.465us         0.64%     289.246us      36.156us       0.000us         0.00%      18.048us       2.256us           0 b           0 b           0 b           0 b             8            --  
                              aten::_local_scalar_dense         0.06%      25.436us         0.62%     279.781us      34.973us      18.048us         0.28%      18.048us       2.256us           0 b           0 b           0 b           0 b             8            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      18.048us         0.28%      18.048us       2.256us           0 b           0 b           0 b           0 b             8            --  
                                mixed/prefill_attention         6.42%       2.913ms         7.19%       3.265ms     116.619us       0.000us         0.00%      17.024us       0.608us           0 b           0 b       1.75 Mb     -47.25 Mb            28            --  
                                   prefill/sample_batch         0.15%      67.206us         0.39%     177.624us     177.624us       0.000us         0.00%      15.936us      15.936us           0 b         -32 b           0 b    -594.50 Kb             1            --  
                            mixed/cache_and_input_setup         1.69%     767.111us         3.48%       1.581ms       1.581ms       0.000us         0.00%      14.145us      14.145us           0 b     -10.63 Kb       1.76 Mb           0 b             1            --  
                                     aten::index_select         0.09%      42.467us         0.22%      99.783us      33.261us      13.696us         0.21%      13.696us       4.565us           0 b           0 b       2.34 Mb           0 b             3            --  
                                    mixed/input_rmsnorm         5.10%       2.313ms         6.10%       2.771ms      98.965us       0.000us         0.00%      11.966us       0.427us           0 b           0 b       1.75 Mb     -47.25 Mb            28            --  
                                               aten::to         1.09%     492.812us         1.69%     768.717us      69.883us       0.000us         0.00%      10.625us       0.966us          16 b           0 b      15.00 Kb           0 b            11            --  
                                         aten::_to_copy         0.10%      45.499us         0.61%     275.905us      25.082us       0.000us         0.00%      10.625us       0.966us          16 b           0 b      15.00 Kb           0 b            11            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.129us         0.12%       8.129us       0.813us           0 b           0 b           0 b           0 b            10            --  
                           mixed/post_attention_rmsnorm         5.53%       2.509ms         6.53%       2.962ms     105.798us       0.000us         0.00%       7.199us       0.257us           0 b           0 b           0 b     -49.00 Mb            28            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.912us         0.11%       6.912us       3.456us           0 b           0 b           0 b           0 b             2            --  
                                        aten::embedding         0.01%       6.232us         0.12%      54.808us      54.808us       0.000us         0.00%       6.784us       6.784us           0 b           0 b       1.75 Mb           0 b             1            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       6.784us         0.10%       6.784us       6.784us           0 b           0 b           0 b           0 b             1            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.496us         0.04%       2.496us       2.496us           0 b           0 b           0 b           0 b             1            --  
                                            aten::empty         1.07%     486.976us         1.07%     486.976us       3.896us       0.000us         0.00%       0.000us       0.000us      10.64 Kb      10.64 Kb     133.00 Mb     133.00 Mb           125            --  
                                    aten::empty_strided         1.96%     889.018us         1.96%     889.018us       4.939us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     205.53 Mb     205.53 Mb           180            --  
                                        cudaMemcpyAsync         0.24%     107.055us         0.24%     107.055us       5.634us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            19            --  
                                  cudaStreamSynchronize         0.62%     283.239us         0.62%     283.239us      14.907us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            19            --  
                                       aten::lift_fresh         0.00%       1.557us         0.00%       1.557us       0.156us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::detach_         0.02%      10.650us         0.03%      14.919us       1.492us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                                detach_         0.01%       4.269us         0.01%       4.269us       0.427us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::resize_         0.03%      11.930us         0.03%      11.930us       3.977us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.34 Mb       2.34 Mb             3            --  
                                       cudaLaunchKernel         2.57%       1.166ms         2.57%       1.166ms       4.942us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           236            --  
                                        aten::unsqueeze         0.53%     242.423us         0.65%     296.581us       2.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           113            --  
                                       aten::as_strided         0.95%     432.594us         0.95%     432.594us       0.457us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           946            --  
                                            aten::slice         0.95%     430.661us         1.12%     506.834us       2.560us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                             aten::view         0.70%     319.858us         0.70%     319.858us       1.221us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           262            --  
                                       aten::empty_like         0.86%     388.461us         2.96%       1.342ms       6.811us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     254.52 Mb           0 b           197            --  
                                                aten::t         0.70%     319.522us         1.67%     755.875us       3.818us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                        aten::transpose         1.83%     829.957us         2.29%       1.041ms       2.467us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           422            --  
                                  cudaFuncGetAttributes         1.12%     506.894us         1.12%     506.894us       2.560us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                   cudaFuncSetAttribute         0.36%     163.047us         0.36%     163.047us       0.383us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           426            --  
                                    cudaLaunchKernelExC         2.23%       1.010ms         2.23%       1.010ms       5.103us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                             mixed/rope         8.17%       3.707ms         9.58%       4.346ms     155.228us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b     -56.11 Mb            28            --  
                                           aten::select         0.67%     302.059us         0.77%     350.385us       3.809us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            92            --  
                                     aten::_unsafe_view         0.10%      44.105us         0.10%      44.105us       1.575us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                        cudaMemsetAsync         0.67%     304.546us         0.67%     304.546us       4.545us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            67            --  
                                     aten::resolve_conj         0.00%       0.270us         0.00%       0.270us       0.270us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::resolve_neg         0.00%       0.186us         0.00%       0.186us       0.186us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaDeviceSynchronize         0.01%       5.216us         0.01%       5.216us       5.216us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 45.393ms
Self CUDA time total: 6.557ms


CUDA self-time
==============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us       4.989ms        76.08%       4.989ms     178.168us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.910ms        59.64%       3.910ms     139.654us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.637ms        55.47%       3.637ms     129.895us           0 b           0 b           0 b           0 b            28            --  
                                               aten::mm         7.25%       3.290ms        10.15%       4.608ms      40.417us       3.508ms        53.51%       3.508ms      30.774us           0 b           0 b     598.55 Mb     598.55 Mb           114   1275667.415  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.968ms        30.02%       1.968ms      35.147us           0 b           0 b           0 b           0 b            56            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.708ms        26.06%       1.708ms      61.016us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us       1.411ms        21.51%       1.411ms      16.794us           0 b           0 b           0 b           0 b            84            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     820.960us        12.52%     820.960us      29.320us           0 b           0 b           0 b           0 b            28            --  
                                            aten::addmm         5.03%       2.285ms         7.20%       3.267ms      38.889us     689.850us        10.52%     689.850us       8.212us           0 b           0 b      63.22 Mb     -20.78 Mb            84     91603.599  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us     506.719us         7.73%     506.719us     506.719us           0 b           0 b           0 b           0 b             1            --  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     489.473us         7.47%     489.473us      17.481us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us     489.473us         7.47%     489.473us      17.481us           0 b           0 b           0 b           0 b            28            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     434.392us         6.63%     434.392us       7.757us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     415.263us         6.33%     415.263us     415.263us           0 b           0 b           0 b           0 b             1            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     386.402us         5.89%     386.402us      13.800us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     386.402us         5.89%     386.402us      13.800us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us     338.944us         5.17%     338.944us     338.944us           0 b           0 b           0 b           0 b             1            --  
                                              aten::mul         0.58%     263.019us         0.84%     382.309us      13.654us     229.503us         3.50%     229.503us       8.197us           0 b           0 b     248.83 Mb     248.83 Mb            28       130.458  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     229.503us         3.50%     229.503us       8.197us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     213.027us         3.25%     213.027us       3.804us           0 b           0 b           0 b           0 b            56            --  
                                             aten::silu         0.66%     300.313us         1.06%     482.122us      17.219us     203.261us         3.10%     203.261us       7.259us           0 b           0 b     248.83 Mb     248.83 Mb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     203.261us         3.10%     203.261us       7.259us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         1.02%     463.448us         1.39%     630.374us      22.513us     184.133us         2.81%     184.133us       6.576us           0 b           0 b      49.00 Mb      49.00 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     184.133us         2.81%     184.133us       6.576us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.44%     652.126us         2.12%     962.267us      17.183us     180.801us         2.76%     180.801us       3.229us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.801us         2.76%     180.801us       3.229us           0 b           0 b           0 b           0 b            56            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     170.495us         2.60%     170.495us     170.495us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     168.960us         2.58%     168.960us     168.960us           0 b           0 b           0 b           0 b             1            --  
                                              aten::add         1.05%     474.431us         1.54%     701.255us      12.522us     134.915us         2.06%     134.915us       2.409us           0 b           0 b      98.00 Mb      98.00 Mb            56        44.728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.915us         2.06%     134.915us       2.409us           0 b           0 b           0 b           0 b            56            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     117.214us         1.79%     117.214us       2.056us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.71%     321.984us         1.30%     589.639us      15.119us     108.958us         1.66%     108.958us       2.794us           0 b           0 b           0 b           0 b            39            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      98.333us         1.50%      98.333us       3.512us           0 b           0 b           0 b           0 b            28            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us      96.800us         1.48%      96.800us      96.800us           0 b           0 b           0 b           0 b             1            --  
                                           aten::argmax         0.26%     120.049us         0.42%     190.515us      21.168us      79.264us         1.21%      79.264us       8.807us           0 b           0 b       4.50 Kb       4.50 Kb             9            --  
                                         cuLaunchKernel         1.83%     828.621us         1.83%     828.621us       4.903us      77.086us         1.18%      77.086us       0.456us           0 b           0 b           0 b           0 b           169            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.640us         1.11%      72.640us       8.071us           0 b           0 b           0 b           0 b             9            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      57.631us         0.88%      57.631us       2.058us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      57.567us         0.88%      57.567us       2.056us           0 b           0 b           0 b           0 b            28            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      51.968us         0.79%      51.968us       0.776us           0 b           0 b           0 b           0 b            67            --  
                              aten::_local_scalar_dense         0.06%      25.436us         0.62%     279.781us      34.973us      18.048us         0.28%      18.048us       2.256us           0 b           0 b           0 b           0 b             8            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      18.048us         0.28%      18.048us       2.256us           0 b           0 b           0 b           0 b             8            --  
                                     aten::index_select         0.09%      42.467us         0.22%      99.783us      33.261us      13.696us         0.21%      13.696us       4.565us           0 b           0 b       2.34 Mb           0 b             3            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.129us         0.12%       8.129us       0.813us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.912us         0.11%       6.912us       3.456us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       6.784us         0.10%       6.784us       6.784us           0 b           0 b           0 b           0 b             1            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.496us         0.04%       2.496us       2.496us           0 b           0 b           0 b           0 b             1            --  
                               mixed/profiled_iteration         1.71%     774.738us        99.99%      45.387ms      45.387ms       0.000us         0.00%       5.428ms       5.428ms           0 b           0 b           0 b     -13.95 Mb             1            --  
                            mixed/cache_and_input_setup         1.69%     767.111us         3.48%       1.581ms       1.581ms       0.000us         0.00%      14.145us      14.145us           0 b     -10.63 Kb       1.76 Mb           0 b             1            --  
                                            aten::empty         1.07%     486.976us         1.07%     486.976us       3.896us       0.000us         0.00%       0.000us       0.000us      10.64 Kb      10.64 Kb     133.00 Mb     133.00 Mb           125            --  
                                               aten::to         1.09%     492.812us         1.69%     768.717us      69.883us       0.000us         0.00%      10.625us       0.966us          16 b           0 b      15.00 Kb           0 b            11            --  
                                         aten::_to_copy         0.10%      45.499us         0.61%     275.905us      25.082us       0.000us         0.00%      10.625us       0.966us          16 b           0 b      15.00 Kb           0 b            11            --  
                                    aten::empty_strided         1.96%     889.018us         1.96%     889.018us       4.939us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     205.53 Mb     205.53 Mb           180            --  
                                        cudaMemcpyAsync         0.24%     107.055us         0.24%     107.055us       5.634us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            19            --  
                                  cudaStreamSynchronize         0.62%     283.239us         0.62%     283.239us      14.907us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            19            --  
                                       aten::lift_fresh         0.00%       1.557us         0.00%       1.557us       0.156us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::detach_         0.02%      10.650us         0.03%      14.919us       1.492us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                                detach_         0.01%       4.269us         0.01%       4.269us       0.427us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                        aten::embedding         0.01%       6.232us         0.12%      54.808us      54.808us       0.000us         0.00%       6.784us       6.784us           0 b           0 b       1.75 Mb           0 b             1            --  
                                          aten::resize_         0.03%      11.930us         0.03%      11.930us       3.977us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.34 Mb       2.34 Mb             3            --  
                                       cudaLaunchKernel         2.57%       1.166ms         2.57%       1.166ms       4.942us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           236            --  
                                        aten::unsqueeze         0.53%     242.423us         0.65%     296.581us       2.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           113            --  
