-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              cpp/sample_device_to_host         0.06%       4.263us        51.51%       3.498ms       3.498ms       0.000us         0.00%       2.624us       2.624us             1  
                                  cudaStreamSynchronize         0.06%       3.974us         0.06%       3.974us       3.974us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaEventRecord         0.05%       3.524us         0.05%       3.524us       1.762us       0.000us         0.00%       0.000us       0.000us             2  
                                    aten::empty_strided         0.05%       3.201us         0.05%       3.201us       3.201us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::squeeze         0.04%       2.978us         0.05%       3.422us       3.422us       0.000us         0.00%       0.000us       0.000us             1  
                                             aten::view         0.04%       2.524us         0.04%       2.524us       2.524us       0.000us         0.00%       0.000us       0.000us             1  
                                               aten::to         0.03%       2.027us        51.44%       3.494ms       3.494ms       0.000us         0.00%       2.624us       2.624us             1  
                                    cpp/update_requests         0.03%       1.981us        51.54%       3.500ms       3.500ms       0.000us         0.00%       2.624us       2.624us             1  
                                            aten::zero_         0.02%       1.344us         0.02%       1.344us       1.344us       0.000us         0.00%       0.000us       0.000us             1  
                                      cpp/sample_argmax         0.02%       1.206us         0.69%      46.942us      46.942us       0.000us         0.00%       9.920us       9.920us             1  
                                  cudaStreamIsCapturing         0.01%       0.823us         0.01%       0.823us       0.823us       0.000us         0.00%       0.000us       0.000us             1  
                         cpp/wait_device_metadata_reuse         0.01%       0.638us         0.04%       2.601us       2.601us       0.000us         0.00%       0.000us       0.000us             1  
                                           cpp/schedule         0.01%       0.494us         0.01%       0.494us       0.494us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaDriverGetVersion         0.00%       0.079us         0.00%       0.079us       0.079us       0.000us         0.00%       0.000us       0.000us             1  
                                 experiment/target_step         0.00%       0.000us         0.00%       0.000us       0.000us      67.712us         1.93%      67.712us      33.856us             2  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.680us         0.11%       3.680us       0.736us             5  
                           python/model_callback_decode         0.00%       0.000us         0.00%       0.000us       0.000us       4.504ms       128.69%       4.504ms       4.504ms             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.247us         0.15%       5.247us       1.312us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.568us         0.04%       1.568us       1.568us             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.496us         0.07%       2.496us       2.496us             1  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us      89.346us         2.55%      89.346us       1.567us            57  
                 nvjet_hsh_64x8_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     161.824us         4.62%     161.824us       5.779us            28  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      77.472us         2.21%      77.472us       1.383us            56  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.602us         2.90%     101.602us       1.814us            56  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.588ms        45.37%       1.588ms      56.723us            28  
                      nvjet_hsh_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     138.782us         3.96%     138.782us       4.957us            28  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.863us         2.31%      80.863us       1.444us            56  
                      nvjet_hsh_256x8_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     606.367us        17.32%     606.367us      21.656us            28  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.173us         1.43%      50.173us       1.792us            28  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.319us         1.04%      36.319us       1.297us            28  
               nvjet_hsh_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     330.910us         9.45%     330.910us      11.818us            28  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      48.863us         1.40%      48.863us       1.745us            28  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us       0.864us         0.02%       0.864us       0.864us             1  
                      nvjet_hsh_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     163.199us         4.66%     163.199us     163.199us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.800us         0.02%       0.800us       0.800us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.120us         0.26%       9.120us       9.120us             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.624us         0.07%       2.624us       2.624us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.792ms
Self CUDA time total: 3.500ms

