CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         cuLaunchKernel         1.23%     999.179us         1.23%     999.179us       5.912us      89.089us         0.13%      89.089us       0.527us           0 b           0 b           0 b           0 b           169            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      59.614us         0.09%      59.614us       2.129us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      59.329us         0.08%      59.329us       2.119us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         4.05%       3.284ms         5.31%       4.305ms     153.750us       0.000us         0.00%      40.864us       1.459us           0 b           0 b     192.00 Kb      -5.06 Mb            28            --  
                                mixed/prefill_attention         3.86%       3.132ms         4.36%       3.541ms     126.472us       0.000us         0.00%      19.072us       0.681us           0 b           0 b       1.75 Mb     -47.25 Mb            28            --  
                            mixed/cache_and_input_setup         3.88%       3.148ms         6.57%       5.333ms       5.333ms       0.000us         0.00%      18.401us      18.401us           0 b    -139.91 Kb       1.89 Mb           0 b             1            --  
                                   prefill/sample_batch         0.14%     114.526us         0.33%     271.279us     271.279us       0.000us         0.00%      15.809us      15.809us           0 b         -32 b           0 b    -594.50 Kb             1            --  
                                               aten::to         2.14%       1.736ms         2.58%       2.094ms     190.374us       0.000us         0.00%      14.944us       1.359us          16 b           0 b     143.00 Kb           0 b            11            --  
                                         aten::_to_copy         0.07%      59.227us         0.44%     358.138us      32.558us       0.000us         0.00%      14.944us       1.359us          16 b           0 b     143.00 Kb           0 b            11            --  
                                     aten::index_select         0.09%      72.127us         0.19%     154.532us      51.511us      13.601us         0.02%      13.601us       4.534us           0 b           0 b       2.34 Mb           0 b             3            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.384us         0.02%      12.384us       1.238us           0 b           0 b           0 b           0 b            10            --  
                                    mixed/input_rmsnorm         3.27%       2.650ms         4.01%       3.251ms     116.124us       0.000us         0.00%      11.264us       0.402us           0 b           0 b       1.75 Mb     -47.25 Mb            28            --  
                           mixed/post_attention_rmsnorm         3.37%       2.734ms         4.03%       3.273ms     116.885us       0.000us         0.00%       9.344us       0.334us           0 b           0 b           0 b     -49.00 Mb            28            --  
                                             mixed/rope         5.10%       4.141ms         6.05%       4.912ms     175.418us       0.000us         0.00%       8.545us       0.305us           0 b           0 b           0 b     -56.88 Mb            28            --  
                                        aten::embedding         0.01%       8.877us         0.10%      78.763us      78.763us       0.000us         0.00%       6.881us       6.881us           0 b           0 b       1.75 Mb           0 b             1            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       6.881us         0.01%       6.881us       6.881us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.720us         0.01%       6.720us       3.360us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.560us         0.00%       2.560us       2.560us           0 b           0 b           0 b           0 b             1            --  
                                            aten::empty         0.76%     613.701us         0.76%     613.701us       4.910us       0.000us         0.00%       0.000us       0.000us     139.93 Kb     139.93 Kb     133.00 Mb     133.00 Mb           125            --  
                                    aten::empty_strided         1.29%       1.047ms         1.29%       1.047ms       5.817us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     211.01 Mb     211.01 Mb           180            --  
                                        cudaMemcpyAsync         0.47%     377.951us         0.47%     377.951us       5.039us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            75            --  
                                  cudaStreamSynchronize        27.42%      22.243ms        27.42%      22.243ms     296.579us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            75            --  
                                       aten::lift_fresh         0.00%       2.525us         0.00%       2.525us       0.252us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::detach_         0.02%      18.121us         0.03%      25.600us       2.560us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                                detach_         0.01%       7.479us         0.01%       7.479us       0.748us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::resize_         0.03%      21.409us         0.03%      21.409us       7.136us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.34 Mb       2.34 Mb             3            --  
                                       cudaLaunchKernel         1.95%       1.585ms         1.95%       1.585ms       5.428us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           292            --  
                                        aten::unsqueeze         0.36%     293.258us         0.45%     362.041us       3.204us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           113            --  
                                       aten::as_strided         0.74%     599.314us         0.74%     599.314us       0.566us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1058            --  
                                            aten::slice         0.64%     516.016us         0.75%     611.099us       3.086us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                             aten::view         0.54%     439.522us         0.54%     439.522us       1.382us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           318            --  
                                       aten::empty_like         0.59%     481.338us         1.96%       1.594ms       8.089us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     259.88 Mb           0 b           197            --  
                                                aten::t         0.50%     408.574us         1.17%     949.177us       4.794us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                        aten::transpose         1.31%       1.061ms         1.65%       1.339ms       3.173us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           422            --  
                                  cudaFuncGetAttributes         0.66%     538.922us         0.66%     538.922us       2.722us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                   cudaFuncSetAttribute         0.24%     198.763us         0.24%     198.763us       0.467us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           426            --  
                                    cudaLaunchKernelExC         1.49%       1.210ms         1.49%       1.210ms       6.112us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                           aten::select         0.68%     548.692us         0.78%     629.499us       4.253us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           148            --  
                                     aten::_unsafe_view         0.06%      51.246us         0.06%      51.246us       1.830us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                        cudaMemsetAsync         0.66%     537.851us         0.66%     537.851us       4.373us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           123            --  
                                     aten::resolve_conj         0.00%       1.100us         0.00%       1.100us       1.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::resolve_neg         0.00%       0.536us         0.00%       0.536us       0.536us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaDeviceSynchronize         0.01%       8.422us         0.01%       8.422us       8.422us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 81.131ms
Self CUDA time total: 70.030ms


CUDA self-time
==============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      63.110ms        90.12%      63.110ms       2.254ms           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us      63.110ms        90.12%      63.110ms       2.254ms           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us       3.849ms         5.50%       3.849ms     137.452us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us       3.632ms         5.19%       3.632ms       3.632ms           0 b           0 b           0 b           0 b             1            --  
                                               aten::mm         4.56%       3.698ms         6.46%       5.241ms      45.974us       3.597ms         5.14%       3.597ms      31.550us           0 b           0 b     668.38 Mb     668.38 Mb           114   1438682.186  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       2.949ms         4.21%       2.949ms       2.949ms           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         2.87%       2.010ms      35.893us           0 b           0 b           0 b           0 b            56            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us     957.984us         1.37%     957.984us      34.214us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     904.703us         1.29%     904.703us      32.311us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us     760.095us         1.09%     760.095us      27.146us           0 b           0 b           0 b           0 b            28            --  
                                            aten::addmm         3.42%       2.776ms         4.86%       3.946ms      46.979us     697.186us         1.00%     697.186us       8.300us           0 b           0 b      64.75 Mb     -19.25 Mb            84    101468.602  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us     557.732us         0.80%     557.732us       9.960us           0 b           0 b           0 b           0 b            56            --  
                                           aten::argmax         1.14%     921.474us         1.88%       1.528ms      23.507us     557.380us         0.80%     557.380us       8.575us           0 b           0 b      32.50 Kb      32.50 Kb            65            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     510.019us         0.73%     510.019us       7.846us           0 b           0 b           0 b           0 b            65            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     443.039us         0.63%     443.039us      15.823us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     443.039us         0.63%     443.039us      15.823us           0 b           0 b           0 b           0 b            28            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     415.518us         0.59%     415.518us       7.420us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     360.896us         0.52%     360.896us     360.896us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     346.176us         0.49%     346.176us     173.088us           0 b           0 b           0 b           0 b             2            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us     336.962us         0.48%     336.962us      12.034us           0 b           0 b           0 b           0 b            28            --  
                                              aten::mul         0.39%     318.273us         0.56%     453.046us      16.180us     248.868us         0.36%     248.868us       8.888us           0 b           0 b     275.62 Mb     275.62 Mb            28       144.507  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     248.868us         0.36%     248.868us       8.888us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     245.185us         0.35%     245.185us       8.757us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     225.441us         0.32%     225.441us       4.026us           0 b           0 b           0 b           0 b            56            --  
                                             aten::silu         0.44%     356.889us         0.64%     519.197us      18.543us     223.586us         0.32%     223.586us       7.985us           0 b           0 b     284.38 Mb     284.38 Mb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.586us         0.32%     223.586us       7.985us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         0.65%     524.250us         0.88%     714.815us      25.529us     195.551us         0.28%     195.551us       6.984us           0 b           0 b      49.00 Mb      49.00 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     195.551us         0.28%     195.551us       6.984us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.03%     836.526us         1.50%       1.218ms      21.744us     178.465us         0.25%     178.465us       3.187us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     178.465us         0.25%     178.465us       3.187us           0 b           0 b           0 b           0 b            56            --  
                                              aten::add         0.67%     545.931us         1.00%     814.259us      14.540us     153.409us         0.22%     153.409us       2.739us           0 b           0 b      98.00 Mb      98.00 Mb            56        49.545  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     153.409us         0.22%     153.409us       2.739us           0 b           0 b           0 b           0 b            56            --  
                              aten::_local_scalar_dense         0.32%     261.677us        27.99%      22.712ms     354.881us     145.600us         0.21%     145.600us       2.275us           0 b           0 b           0 b           0 b            64            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     145.600us         0.21%     145.600us       2.275us           0 b           0 b           0 b           0 b            64            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us     144.001us         0.21%     144.001us     144.001us           0 b           0 b           0 b           0 b             1            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     121.023us         0.17%     121.023us       2.123us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.46%     370.147us         0.86%     694.228us      17.801us     119.455us         0.17%     119.455us       3.063us           0 b           0 b           0 b           0 b            39            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     107.074us         0.15%     107.074us       0.871us           0 b           0 b           0 b           0 b           123            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     104.511us         0.15%     104.511us       3.733us           0 b           0 b           0 b           0 b            28            --  
                                         cuLaunchKernel         1.23%     999.179us         1.23%     999.179us       5.912us      89.089us         0.13%      89.089us       0.527us           0 b           0 b           0 b           0 b           169            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      59.614us         0.09%      59.614us       2.129us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      59.329us         0.08%      59.329us       2.119us           0 b           0 b           0 b           0 b            28            --  
                                     aten::index_select         0.09%      72.127us         0.19%     154.532us      51.511us      13.601us         0.02%      13.601us       4.534us           0 b           0 b       2.34 Mb           0 b             3            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.384us         0.02%      12.384us       1.238us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       6.881us         0.01%       6.881us       6.881us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.720us         0.01%       6.720us       3.360us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.560us         0.00%       2.560us       2.560us           0 b           0 b           0 b           0 b             1            --  
                               mixed/profiled_iteration         2.06%       1.670ms        99.99%      81.123ms      81.123ms       0.000us         0.00%       6.219ms       6.219ms           0 b           0 b           0 b     -30.55 Mb             1            --  
                            mixed/cache_and_input_setup         3.88%       3.148ms         6.57%       5.333ms       5.333ms       0.000us         0.00%      18.401us      18.401us           0 b    -139.91 Kb       1.89 Mb           0 b             1            --  
                                            aten::empty         0.76%     613.701us         0.76%     613.701us       4.910us       0.000us         0.00%       0.000us       0.000us     139.93 Kb     139.93 Kb     133.00 Mb     133.00 Mb           125            --  
                                               aten::to         2.14%       1.736ms         2.58%       2.094ms     190.374us       0.000us         0.00%      14.944us       1.359us          16 b           0 b     143.00 Kb           0 b            11            --  
                                         aten::_to_copy         0.07%      59.227us         0.44%     358.138us      32.558us       0.000us         0.00%      14.944us       1.359us          16 b           0 b     143.00 Kb           0 b            11            --  
                                    aten::empty_strided         1.29%       1.047ms         1.29%       1.047ms       5.817us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     211.01 Mb     211.01 Mb           180            --  
                                        cudaMemcpyAsync         0.47%     377.951us         0.47%     377.951us       5.039us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            75            --  
                                  cudaStreamSynchronize        27.42%      22.243ms        27.42%      22.243ms     296.579us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            75            --  
                                       aten::lift_fresh         0.00%       2.525us         0.00%       2.525us       0.252us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                          aten::detach_         0.02%      18.121us         0.03%      25.600us       2.560us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                                detach_         0.01%       7.479us         0.01%       7.479us       0.748us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                        aten::embedding         0.01%       8.877us         0.10%      78.763us      78.763us       0.000us         0.00%       6.881us       6.881us           0 b           0 b       1.75 Mb           0 b             1            --  
                                          aten::resize_         0.03%      21.409us         0.03%      21.409us       7.136us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.34 Mb       2.34 Mb             3            --  
                                       cudaLaunchKernel         1.95%       1.585ms         1.95%       1.585ms       5.428us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           292            --  
                                        aten::unsqueeze         0.36%     293.258us         0.45%     362.041us       3.204us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           113            --  
