
NOTICE: Existing SQLite export found: experiments/results/profiles/nsys-dual-heavy.sqlite
        It is assumed file was previously exported from: experiments/results/profiles/nsys-dual-heavy.nsys-rep
        Consider using --force-export=true if needed.

Processing [experiments/results/profiles/nsys-dual-heavy.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
      0.5          1073053         57    18825.5    18752.0     18112     19552        288.6  fused_rms_norm                                                                                      
      0.4           922591         28    32949.7    32976.0     32288     33888        415.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2           517662         65     7964.0     7936.0      7712      9856        257.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMax…
      0.2           471391         56     8417.7     8368.0      7744      9120        432.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl…
      0.2           351519          2   175759.5   175759.5    167040    184479      12331.2  sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256x64_warpgroupsize1x1x1_execute_segment_k_off_ke…
      0.0            77088          1    77088.0    77088.0     77088     77088          0.0  void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…
      0.0             6464          2     3232.0     3232.0      2720      3744        724.1  void at::native::<unnamed>::indexSelectSmallIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…

Processing [experiments/results/profiles/nsys-dual-heavy.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)  Min (ns)  Max (ns)   StdDev (ns)             Name           
 --------  ---------------  ---------  ---------  --------  --------  ---------  -----------  --------------------------
     97.5        193758586         75  2583447.8   17192.0      2520  192680310   22247123.7  cudaStreamSynchronize     
      0.8          1571688        292     5382.5    4398.0      3311      35502       3203.2  cudaLaunchKernel          
      0.6          1095236        198     5531.5    4850.0      3951      16402       1961.0  cudaLaunchKernelExC_v11060
      0.5           967851        169     5726.9    5473.0      3996      16102       1793.0  cuLaunchKernel            
      0.4           860455        207     4156.8    3318.0      2065      26615       2518.7  cudaMemsetAsync           
      0.2           414658         75     5528.8    3392.0      3094      38302       6129.4  cudaMemcpyAsync           
      0.0            23385          2    11692.5   11692.5      7970      15415       5264.4  cudaDeviceSynchronize     
      0.0             5225          1     5225.0    5225.0      5225       5225          0.0  cuProfilerStart           

Processing [experiments/results/profiles/nsys-dual-heavy.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)              Range            
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  -----------------------------
     51.8         38202049         28  1364358.9  1341150.5   1287164   2027246     133815.3  :mixed/layer                 
      7.3          5391586         28   192556.6   190533.5    178848    252648      13553.7  :mixed/mlp                   
      7.3          5388257          1  5388257.0  5388257.0   5388257   5388257          0.0  :mixed/cache_and_input_setup 
      6.5          4787321         28   170975.8   165026.5    154676    373257      39938.1  :mixed/qkv_projection        
      5.8          4286113         28   153075.5   148915.0    140298    232504      17214.9  :mixed/output_projection     
      5.0          3658904         28   130675.1   128491.0    121079    192967      12917.9  :mixed/rope                  
      3.8          2818459         28   100659.3    98712.0     93049    116582       6065.6  :mixed/decode_attention      
      3.6          2676001         28    95571.5    93935.0     87641    114803       5925.9  :mixed/prefill_attention     
      3.1          2291541         28    81840.8    75328.0     70036    218833      27300.9  :mixed/input_rmsnorm         
      3.1          2255773         28    80563.3    79298.5     71360     97145       6527.3  :mixed/post_attention_rmsnorm
      2.2          1657825         28    59208.0    56117.5     53261     90083       7410.7  :mixed/kv_cache_write        
      0.3           210382          1   210382.0   210382.0    210382    210382          0.0  :mixed/final_norm_and_lm_head
      0.3           191240          1   191240.0   191240.0    191240    191240          0.0  :prefill/sample_batch        

