-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.414us         0.09%       4.414us       1.104us             4  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.840us         0.08%       3.840us       3.840us             1  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.040us         0.06%       3.040us       0.760us             4  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.336us         0.05%       2.336us       2.336us             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.240us         0.05%       2.240us       2.240us             1  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.04%       1.952us       1.952us             1  
                                              aten::cat         0.16%      12.226us         0.26%      19.583us      19.583us       1.921us         0.04%       1.921us       1.921us             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.921us         0.04%       1.921us       1.921us             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.824us         0.04%       1.824us       1.824us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344us         0.03%       1.344us       1.344us             1  
                                            aten::fill_         0.17%      12.757us         0.29%      22.352us      11.176us       1.184us         0.02%       1.184us       0.592us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184us         0.02%       1.184us       1.184us             1  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us       0.832us         0.02%       0.832us       0.832us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.832us         0.02%       0.832us       0.832us             1  
                                 experiment/target_step         0.83%      63.128us        99.71%       7.562ms       7.562ms       0.000us         0.00%       4.776ms       4.776ms             1  
                                               cpp/step         0.27%      20.261us        98.88%       7.498ms       7.498ms       0.000us         0.00%       4.776ms       4.776ms             1  
                                           cpp/schedule         0.02%       1.303us         0.02%       1.303us       1.303us       0.000us         0.00%       0.000us       0.000us             1  
                              cpp/wait_h2d_source_reuse         0.06%       4.266us        17.59%       1.334ms       1.334ms       0.000us         0.00%       0.000us       0.000us             1  
                                Activity Buffer Request        17.43%       1.322ms        17.43%       1.322ms       1.322ms       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaEventSynchronize         0.12%       9.405us         0.12%       9.405us       4.703us       0.000us         0.00%       0.000us       0.000us             2  
                         cpp/wait_device_metadata_reuse         0.01%       0.777us         0.04%       2.732us       2.732us       0.000us         0.00%       0.000us       0.000us             1  
                                 cpp/build_decode_batch         0.31%      23.619us         0.79%      59.896us      59.896us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.52%      39.763us         0.66%      50.216us       1.931us       0.000us         0.00%       0.000us       0.000us            26  
                                       aten::as_strided         0.15%      11.445us         0.15%      11.445us       0.395us       0.000us         0.00%       0.000us       0.000us            29  
                                            aten::zero_         0.08%       6.023us         0.37%      28.375us      14.187us       0.000us         0.00%       1.184us       0.592us             2  
                                    cpp/transfer_decode         0.24%      18.429us         2.64%     199.975us     199.975us       0.000us         0.00%       9.120us       9.120us             1  
                                    cudaStreamWaitEvent         0.08%       5.718us         0.08%       5.718us       2.859us       0.000us         0.00%       0.000us       0.000us             2  
                                 cpp/copy_batch_enqueue         0.15%      11.509us         2.29%     174.020us     174.020us       0.000us         0.00%       9.120us       9.120us             1  
                                        cudaMemcpyAsync        62.71%       4.756ms        62.71%       4.756ms     475.562us       0.000us         0.00%       0.000us       0.000us            10  
                                       aten::empty_like         0.06%       4.813us         0.23%      17.785us       8.892us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::empty         0.23%      17.252us         0.23%      17.252us       5.751us       0.000us         0.00%       0.000us       0.000us             3  
                                        aten::expand_as         0.03%       2.562us         0.06%       4.365us       4.365us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.02%       1.490us         0.02%       1.803us       1.803us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::contiguous         0.04%       2.669us         0.42%      31.589us      31.589us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::clone         0.03%       2.574us         0.38%      28.920us      28.920us       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.70%      53.449us         0.70%      53.449us      10.690us       0.000us         0.00%       0.000us       0.000us             5  
                                        cudaEventRecord         0.05%       3.638us         0.05%       3.638us       1.819us       0.000us         0.00%       0.000us       0.000us             2  
                           python/model_callback_decode         2.98%     225.657us        14.01%       1.062ms       1.062ms       0.000us         0.00%       8.863us       8.863us             1  
                                             aten::view         0.03%       2.389us         0.03%       2.389us       2.389us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::new_zeros         0.04%       3.091us         0.31%      23.584us      23.584us       0.000us         0.00%       1.184us       1.184us             1  
                                        aten::new_empty         0.01%       0.830us         0.07%       5.110us       5.110us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.01%       0.929us         0.01%       0.929us       0.929us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaGraphLaunch         9.79%     742.358us         9.79%     742.358us     742.358us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaDriverGetVersion         0.00%       0.114us         0.00%       0.114us       0.114us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::squeeze         0.04%       2.956us         0.04%       3.333us       3.333us       0.000us         0.00%       0.000us       0.000us             1  
                                      cpp/sample_argmax         0.02%       1.684us         0.46%      34.913us      34.913us       0.000us         0.00%      25.024us      25.024us             1  
                                        cudaMemsetAsync         0.10%       7.710us         0.10%       7.710us       7.710us       0.000us         0.00%       0.000us       0.000us             1  
                                    cpp/update_requests         0.03%       2.149us        62.18%       4.715ms       4.715ms       0.000us         0.00%       2.336us       2.336us             1  
                              cpp/sample_device_to_host         0.02%       1.482us        62.15%       4.713ms       4.713ms       0.000us         0.00%       2.336us       2.336us             1  
                                               aten::to         0.02%       1.659us        62.13%       4.712ms       4.712ms       0.000us         0.00%       2.336us       2.336us             1  
                                         aten::_to_copy         0.05%       4.108us        62.11%       4.710ms       4.710ms       0.000us         0.00%       2.336us       2.336us             1  
                                    aten::empty_strided         0.04%       2.718us         0.04%       2.718us       2.718us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamSynchronize         0.05%       3.754us         0.05%       3.754us       3.754us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.29%      21.617us         0.29%      21.617us      21.617us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.583ms
Self CUDA time total: 4.776ms

